meanR;meanG;meanB;stdR;stdG;stdB;skewR;skewG;skewB;kurR;kurG;kurB;entR;entG;entB;Class
16.59832077;13.88035472;5.561664047;43.12383096;36.55706247;16.29102269;2.391576055;2.478816571;3.548083473;4.19384533;4.715157849;14.18541833;11.14204289;11.12765039;11.03338259;1
19.03725769;19.50783369;4.783332178;42.55543279;44.18851116;14.23693646;1.95814401;1.999137821;4.126702861;2.192663475;2.326682813;20.66490363;11.40233304;11.38499488;11.09419624;1
13.77834343;12.38657429;3.738302438;32.58561018;30.2739928;13.22398888;2.167594245;2.338187031;4.937500302;3.24611236;4.152477463;28.16078017;11.31382028;11.27651029;10.8188032;1
13.89634377;13.62044849;4.191658577;39.06886617;38.82549367;14.23306992;2.629571162;2.698517594;4.388536786;5.384342834;5.760393144;22.40463036;11.00205547;10.98503147;10.80522132;1
14.42275718;14.24848989;3.755791959;38.40309959;38.33713281;12.90288729;2.498600369;2.535509985;4.894007256;4.880204419;5.009803172;29.76767846;11.10162303;11.08803375;10.83565155;1
17.5737584;16.95223126;4.738102117;43.95648993;42.77981653;14.92304704;2.203683676;2.256455089;3.991158901;3.140339318;3.408295175;18.11173013;11.19426115;11.18504361;10.94642731;1
18.46666397;17.28106509;4.6779424;46.31293111;43.87426199;15.56323426;2.274055476;2.350231426;4.194425153;3.612007059;4.041105591;19.48586364;11.20074253;11.18792326;10.85947013;1
19.5133868;18.48238143;4.995342548;46.09557028;44.3592011;14.7582468;2.108413094;2.187576979;3.900772997;2.83717338;3.209524685;18.00951634;11.30669578;11.28905474;11.07415159;1
21.55262266;19.25353065;4.679250262;49.23109851;44.80061326;14.88248241;2.010833338;2.102334227;4.093850033;2.428677289;2.86103668;18.51581672;11.36202269;11.34147032;10.96936221;1
19.72197246;19.73493744;5.513355985;44.90793048;45.48106103;16.48155632;2.082764394;2.112951124;3.838009345;2.947421555;2.974735444;16.64601687;11.38104718;11.3654717;11.05827331;1
18.70118151;16.72446299;5.314980893;46.54320842;42.45803589;16.26745726;2.299929847;2.406012582;3.748148266;3.8276406;4.398026315;15.34142181;11.22355969;11.20095805;10.98682906;1
22.83908677;21.48036859;4.243125539;49.89462801;47.27947986;13.86883457;1.827987585;1.865781033;4.504132761;1.572180189;1.740892108;23.37404238;11.42518659;11.41709858;10.95205415;1
23.79720437;20.86856278;4.647039109;53.359888;47.45173158;14.06582509;1.883130459;1.965813169;3.950907882;1.7400726;2.145744318;18.42716412;11.37944602;11.36535575;11.03397991;1
19.84089158;19.56036004;4.405196391;44.8199914;44.80936436;13.77947114;1.983327696;2.041675386;4.256195004;2.377101411;2.612656944;21.30519134;11.37902625;11.36247366;11.00864151;1
20.64110269;19.15339158;4.643123228;47.57640356;44.96334235;13.92217208;1.993761807;2.092896561;4.059468943;2.272445927;2.749860202;20.08061548;11.33895944;11.31946781;11.05686133;1
22.19582871;19.40066414;3.782881456;46.73172331;41.94298247;13.04108872;1.792007307;1.914352924;4.886701221;1.549239531;2.06628441;27.64376168;11.49811386;11.46920662;10.88451186;1
18.79004291;18.29088657;4.846673909;44.32987984;43.60578499;14.64324287;2.101210639;2.144887638;3.98103736;2.824603757;2.989499258;18.18783342;11.30759676;11.29541209;11.04933014;1
19.91025834;18.70752627;4.271763668;46.48596463;44.25010919;14.11030115;2.058165609;2.12788685;4.345156425;2.622945392;2.94853137;21.54366044;11.32122372;11.30757943;10.89773091;1
23.74989791;22.67926952;5.747434357;51.64987029;49.74282986;16.4304787;1.889007841;1.927851865;3.685807307;1.967946514;2.126949807;15.04661442;11.44626431;11.43691585;11.14750825;1
24.10741995;21.64803686;5.683054426;52.52167084;48.04159236;17.12847288;1.858297611;1.981911884;3.71994422;1.784830546;2.420535457;14.83755507;11.43568056;11.41890932;11.03751851;1
16.82203641;17.10275479;4.745521681;40.83581482;42.08307217;15.74051446;2.241080203;2.301578261;4.05960578;3.663553763;3.929643776;17.52440721;11.26517054;11.24934323;10.8684982;1
19.54749522;18.29140278;5.235295704;48.0180276;45.5994136;15.54193867;2.207683271;2.286500918;3.701948152;3.232497584;3.644571817;15.3449574;11.23831573;11.22177496;11.04281513;1
17.98897467;15.81545473;4.555120886;45.43630927;40.9560331;14.55797814;2.360404067;2.50527342;4.240289547;4.181177186;5.016545396;20.95549917;11.20012436;11.17264023;10.94127506;1
23.58083896;22.23937338;6.694116355;53.40240947;51.00633714;18.33222309;1.990621006;2.046054713;3.426009814;2.319774534;2.55701038;13.02783472;11.37954055;11.3648047;11.19019211;1
19.55195428;17.23940998;4.401097525;47.67946798;42.79595464;14.61481459;2.19951387;2.311651061;4.213994041;3.302892672;3.93358938;19.60326246;11.24923347;11.23096275;10.87391653;1
17.0167884;17.00055473;5.684448964;42.00074793;42.50290346;16.67225501;2.269368041;2.331715449;3.549669508;3.674012555;3.965842415;13.83457164;11.23627716;11.22163693;11.0485015;1
16.62596693;16.18337417;4.723280325;40.39193811;39.85647173;14.52097288;2.259455179;2.313880554;4.144725274;3.762303692;3.960159444;20.20854399;11.26803401;11.25196926;11.01864147;1
20.01160896;18.60026812;5.433638052;46.46740512;44.03730742;15.82517666;2.102428096;2.199013285;3.738967436;2.921927478;3.387214972;16.10104809;11.34251549;11.3209289;11.09293813;1
18.74853034;17.95501841;4.345233142;44.45092268;43.07345615;14.50994304;2.163034662;2.216563627;4.267576651;3.276013923;3.496474968;20.39915045;11.30357142;11.29045106;10.86676397;1
17.8726289;17.61557531;4.713953865;41.21956897;40.97123314;14.20609979;2.078637028;2.106317558;4.091342431;2.865303814;2.927352587;20.03237266;11.3506536;11.34051261;11.05933444;1
17.40410426;16.29149331;5.124549279;41.81703486;39.42791532;15.43023649;2.261801914;2.264440912;3.762569339;3.909988833;3.763653919;15.86833553;11.2900297;11.27994675;11.0246621;1
21.53505416;21.15809526;5.56382905;48.35966742;48.230408;16.15215865;1.985954163;2.04797652;3.742235939;2.367452293;2.611352051;16.01672151;11.39535792;11.37789756;11.10508251;1
16.42811961;16.35406843;4.769995454;39.43975998;39.46361312;14.48000783;2.205079906;2.208666995;4.009366664;3.447239445;3.372649852;18.66001686;11.28517842;11.27794243;11.03700592;1
18.85291466;19.06743289;4.050112873;42.57180347;43.65119117;12.97131609;1.914085609;1.985652838;4.595884012;1.898699188;2.227167627;25.64278129;11.36918386;11.35448714;10.98358499;1
19.13341539;17.6650121;4.965964774;48.92511883;45.39304533;14.89755674;2.329208277;2.337116141;3.759651621;3.86470386;3.826141295;16.33450333;11.16620846;11.15952265;11.01152592;1
21.27539448;18.96980554;8.271519046;49.71607889;44.58773364;20.42888009;2.053559121;2.087112161;2.624634514;2.56952079;2.732273258;6.874228778;11.31914286;11.31323184;11.27583141;1
18.52810651;17.4836604;8.7054518;44.53053667;42.180819;21.89290149;2.131106831;2.151023494;2.573145865;2.884518492;2.975960058;6.12007457;11.27214665;11.26805028;11.23500039;1
15.05957416;13.82512019;7.603806475;39.78785719;36.8491795;20.79580407;2.45030838;2.515070094;2.856832726;4.511870872;4.920009452;8.011276199;11.11280685;11.10420158;11.08577599;1
16.97553201;16.39493767;8.224782729;42.94309193;41.55538025;21.48971928;2.26126587;2.275580934;2.657613849;3.393657984;3.479591648;6.64770915;11.18181659;11.17996111;11.15876319;1
13.89512836;13.73093873;7.659249029;37.27317604;37.09640592;21.05876467;2.381582742;2.431770531;2.679452754;3.867788626;4.166917173;6.42341516;11.06794415;11.06074148;11.04877738;1
13.5134677;13.36994576;7.413941152;35.75963709;35.51969054;20.44122196;2.377210474;2.399118371;2.800748456;3.975031821;4.078009887;7.438265095;11.09669196;11.09243356;11.06140169;1
17.45376834;17.09739622;8.666633922;42.32771935;41.68431545;21.94426211;2.146284856;2.172946379;2.588042286;2.999018817;3.104419287;6.336206126;11.2514255;11.24581354;11.21692622;1
19.11782698;18.3592421;4.642225638;44.32063288;43.21481643;15.52096444;2.125158006;2.18980935;4.219742834;3.190168959;3.450567539;19.43824917;11.34555827;11.32790722;10.86729292;1
17.50106324;16.97640841;8.667308078;40.77341261;39.99237869;21.3923264;2.035444304;2.097604712;2.588419947;2.481632765;2.779334046;6.564355924;11.32251401;11.31109383;11.27491173;1
13.50649308;13.06662391;4.102246286;34.42682417;33.90685812;13.23322042;2.375434988;2.464224352;4.533580373;4.130400536;4.598310516;24.38377723;11.18667178;11.16545791;10.95559484;1
16.77792545;16.09254615;4.51810204;40.7706012;39.3057858;13.97588366;2.248949864;2.246088427;4.276530192;3.751192684;3.601180621;21.80135454;11.26268986;11.25515899;11.01991284;1
13.17453503;12.15801436;4.511508799;34.72426963;32.83904507;14.19827447;2.508149715;2.638532783;4.287916144;4.947965281;5.685067417;22.4069884;11.13014702;11.10163632;10.96036875;1
16.72909925;15.75408153;5.108648838;42.34664302;40.3539054;15.35024572;2.310135022;2.370351;3.740864733;3.804706937;4.110084625;16.17578302;11.18571765;11.1720755;11.00745006;1
16.35049733;14.28623105;3.427815274;40.40910887;36.38376707;11.42900952;2.242394385;2.40234673;5.109468759;3.431694068;4.30879901;34.80638338;11.23189709;11.19694152;10.91331344;1
17.51160125;15.39464875;3.689483944;44.45945628;39.90178714;12.69936898;2.313956871;2.43359835;4.753440106;3.794435215;4.461899808;26.96294076;11.18091801;11.15802668;10.83711653;1
15.91521627;13.92415365;3.452154216;40.86290563;36.40557366;11.62632359;2.318547541;2.415258871;4.753708785;3.738787632;4.267896671;29.37931061;11.15729358;11.13571101;10.8527139;1
14.10480615;12.36995346;2.857294749;38.49775572;34.48059544;10.24893382;2.500246664;2.634615458;5.543504529;4.585978131;5.431137947;42.8772264;11.05049662;11.02681503;10.76065975;1
15.12921058;13.78407567;3.507681521;40.78909017;37.63771259;12.25406056;2.463487102;2.525140254;5.041304974;4.405011255;4.736745254;31.15579898;11.07211583;11.05611303;10.81667245;1
13.09794132;12.81134045;3.199332393;32.53205011;32.35255256;11.91640298;2.252109796;2.342615902;5.531525168;3.514604802;3.987917018;36.20698644;11.21931715;11.20083444;10.76363732;1
17.74474737;16.01165326;3.41903199;43.41186904;39.85869442;11.69767117;2.223369382;2.312030241;4.85287323;3.413909359;3.875255791;29.26736525;11.24795281;11.22776489;10.85183051;1
14.24526165;12.1070559;3.507373336;36.92957624;32.61806763;12.23732528;2.474961358;2.67579249;5.145443208;4.779781124;5.947342192;32.56856475;11.16514932;11.11886371;10.84087896;1
22.43293308;19.8875547;3.500312038;49.97032941;44.98315815;12.59201035;1.948240474;2.023294855;4.986964367;2.209437639;2.552293191;28.26105795;11.40398851;11.38716921;10.80885381;1
17.45650541;15.63538777;4.041422045;41.42084404;38.12313603;13.23965985;2.1772305;2.30142692;4.703431408;3.191290723;3.810241499;26.09671116;11.31413242;11.28099405;10.95909116;1
16.51597171;14.46655418;4.214344875;42.33862418;37.95618614;13.58712754;2.366441782;2.478962992;4.314770478;4.092198941;4.688378966;21.98097944;11.17028146;11.14174776;10.92954235;1
15.85637019;14.26361409;3.261083118;40.92262591;37.35119241;11.62398006;2.399251731;2.459403451;5.162503387;4.350140812;4.601894692;32.52750846;11.1563636;11.13838371;10.79994728;1
